Date	Sightings
12/21/2015	9
12/22/2015	26
12/23/2015	12
12/24/2015	26
12/25/2015	16
12/26/2015	9
12/27/2015	4
12/28/2015	5
12/29/2015	9
12/30/2015	8
12/31/2015	32
