cartodb_id,the_geom,city,state,shape_1,duration,summary,posted,month,country,date_time,cartodb_georef_status
3201,0101000020E61000008E9257E7188E57C087C43D963EE04640,Rice,MN,Sphere,20 seconds,"Fast moving, flashing, blue object in sky.",2015-08-06,August,USA,2015-08-06,true
3126,0101000020E6100000D26F5F07CE8D52C0D5E76A2BF6CB4340,Haven Beach,NJ,Unknown,12 minutes,At roughly 9 to 10 pm my wife and I observed a glowing red / orange light slowly hovering from north to south skirting the beach on lbi,2015-08-27,August,USA,2015-08-12,true
3118,0101000020E6100000D26F5F07CE8D52C0D5E76A2BF6CB4340,Haven Beach,NJ,Circle,3 minutes,One small reddish light moving steadily along the shore line making no noise. Thought maybe a drone? Does lbi police use one? But then,2015-08-13,August,USA,2015-08-12,true
3330,0101000020E6100000D28C45D3D9AB54C02B306475AB134440,Johnstown,OH,Light,5 seconds,"Bright red orb/light, perfect circle, fuzzy, faded into nothing. Only lasted a few seconds. No sound.",2015-08-13,August,USA,2015-08-02,true
3819,0101000020E6100000DAE6C6F4845B53C049A297512C9B4540,Webster,NY,Fireball,1 minute,Bright red/orange fireball spotted in southeast sky,2015-07-06,July,USA,2015-07-04,true
3064,0101000020E61000004087F9F2027057C048BF7D1D38434040,Shreveport,LA,Oval,10 minutes,I was walking across the street and looked up and saw a solid red and green disc shaped object approx.1 mile high slightly east of my p,2015-08-27,August,USA,2015-08-15,true
3331,0101000020E610000049BA66F2CD8456C05C2041F163F43D40,New Orleans,LA,Circle,10 minutes,Two circular lights shoot across the might sky.,2015-08-06,August,USA,2015-08-02,true
3417,0101000020E6100000F3936A9F8E375DC045F5D6C056854040,Ramona,CA,Light,1 minute,"I heard a pulsating sound, thought, ""That's a weird sounding helicopter."" Looked up and saw a jet following a light.",2015-07-31,July,USA,2015-07-29,true
3272,0101000020E6100000EA094B3CA01C54C02E73BA2C26163940,Key Largo,FL,Light,2 minutes,"Very fast moving alternating zig, zag strobe lights over Key Largo, Fl",2015-08-13,August,USA,2015-08-05,true
3271,0101000020E6100000EA094B3CA01C54C02E73BA2C26163940,Key Largo,FL,Light,2 minutes,"Very fast moving alternating zig, zag strobe lights over Key Largo, Fl",2015-08-13,August,USA,2015-08-05,true
3589,0101000020E6100000587380608EF455C0DE54A4C2D84A4540,Kenosha,WI,Sphere,3 seconds,Spherical object sighted at night. Very fast. Changed trajectory in flight. Appeared to accelerate.,2015-09-11,July,USA,2015-07-17,true
3559,0101000020E61000003B191C25AFEC5DC07D96E7C1DD354140,Santa Barbara,CA,Circle,2+ minutes,"Yellowish orange, odd circular object observed over Santa Barbara Ca.",2015-07-23,July,USA,2015-07-19,true
3791,0101000020E610000018265305A3E857C03BFC3559A39E3D40,Sugar Land,TX,Fireball,48 seconds,"My family and I where sitting outside, when my husband noticed a white ball moving slowly across the sky.",2015-07-06,July,USA,2015-07-04,true
3511,0101000020E6100000C251F2EA1CFD5EC022E010AAD4504740,Bay Center,WA,Unknown,5 minutes,"Large object with bright lights near Bay Center, WA.",2015-07-31,July,USA,2015-07-23,true
3585,0101000020E61000003468E89FE0B054C079CC4065FC133C40,Palm Harbor,FL,Light,2 minutes,"Blue green object then changed to bright white, making U-shapes.",2015-07-23,July,USA,2015-07-17,true
3668,0101000020E610000018265305A3945CC06744696FF03D4140,Lake Havasu City,AZ,Changing,10 minutes,Lights moving like no air craft at termendous speeds.,2015-07-17,July,USA,2015-07-11,true
3216,0101000020E6100000ED9925016A1452C0F6234564580D4540,Monson,MA,Fireball,30 minutes,Odd shape of lights going from west to east. All crafts were moving as one and there were patterns.,2015-08-13,August,USA,2015-08-08,true
3401,0101000020E6100000325A4755138A57C01CB1169F02084240,Fayetteville,AR,Triangle,still there,"A hovering triangular craft, 2 red lights (one blinking) and 1 white light.",2015-07-31,July,USA,2015-07-30,true
3480,0101000020E61000007E8CB96B094F57C031992A1895944640,Blaine,MN,Fireball,5 minutes,Fireball disappearing.,2015-07-31,July,USA,2015-07-24,true
3269,0101000020E61000009335EA211A6553C0B37BF2B0509B4540,Irondequoit,NY,Circle,1-2 minutes,"Five bright red lights, flying in V-formation, over Lake Ontario at night without sound with additional two behind.",2015-08-06,August,USA,2015-08-05,true
3095,0101000020E6100000BBD573D2FB1C52C0F05014E813594540,Northfield,MA,Light,2 minutes,Ball of light being followed by aircraft.,2015-08-27,August,USA,2015-08-13,true
3242,0101000020E61000007D5C1B2AC6935DC082E7DEC325174140,Burbank,CA,Triangle,4 minutes,UFO over Burbank Studio and 134.,2015-08-13,August,USA,2015-08-07,true
3293,0101000020E6100000D00A0C59DDC452C08E06F016485C4340,Rehoboth Beach,DE,Light,30 minutes,"Over the beach in Rehoboth, traveling south to north toward lightning that continued, centered over ocean.",2015-08-06,August,USA,2015-08-04,true
3586,0101000020E6100000EC866D8B32C15DC040F67AF7C7AF4140,Bakersfield,CA,Unknown,1 minutes,Lighthouse rotating light in the sky.,2015-08-13,July,USA,2015-07-17,true
3381,0101000020E6100000029F1F4608A752C07689EAAD81494440,Somerville,NJ,Unknown,15 minutes,"3 objects with lights, spotted in triangular formation while driving on RT 287.",2015-08-06,July,USA,2015-07-31,true
3881,0101000020E61000001AFA27B858F351C0DA20938C9C214540,Worcester,MA,Circle,5 minutes,"Red lights in V-formation; disappear in same spot in sky; no sound.",2015-07-06,July,USA,2015-07-04,true
